PME,PMP,PMR,MgEBIT,MgBru,MgLiq,ROE,ROA,Status_MgEBIT,Status_MgBru,Status_MgLiq,Status_ROE,Status_ROA
109.0290381,204.1929068,24.2174773,40.82186369,66.44184729,27.51323198,6.601916843,3.94513482,Bom,Bom,Bom,Medio,Bom
97.24911714,175.2369491,24.7871393,31.51428224,61.91070395,26.14369805,5.629927113,3.480621422,Medio,Bom,Bom,Medio,Medio
108.6904584,211.099064,28.60572613,39.25761648,65.15708526,28.54264075,6.374287554,3.483451238,Bom,Bom,Bom,Medio,Medio
79.21190505,202.8440597,24.01207592,46.05205232,67.77636523,27.84030518,8.463176071,4.722437178,Bom,Bom,Bom,Bom,Bom
111.2651894,207.9839942,23.79841312,38.06004065,65.75631266,25.02350607,5.825634806,3.60631101,Bom,Bom,Medio,Medio,Medio
101.7703978,171.4167342,29.33841717,31.79071164,62.46961128,20.93551404,4.569749132,2.834091032,Medio,Bom,Medio,Medio,Medio
91.28847179,164.3647845,32.36831366,29.83418152,59.78685251,30.36548102,6.685424113,4.023689943,Medio,Medio,Bom,Medio,Bom
84.9111171,191.2871836,29.57873328,47.59830623,65.03442125,36.68180336,10.08970258,5.765329494,Bom,Bom,Bom,Bom,Bom
89.74497147,172.8110687,25.55164495,31.1421431,59.76499326,20.36889094,4.803901089,2.836268047,Medio,Medio,Medio,Medio,Medio
103.6897215,170.8124695,30.34371603,29.64674653,60.57452737,20.69383255,4.318198619,2.525834152,Medio,Medio,Medio,Medio,Medio
87.81676626,156.8947253,28.6111812,31.76499518,60.55269781,1.20125295,0.276654694,0.16440533,Medio,Medio,Ruim,Ruim,Ruim
77.92344967,187.9705958,28.83288753,41.72037201,66.80472064,21.95583147,6.808220747,3.798819161,Bom,Bom,Medio,Medio,Medio
95.33390588,193.184383,25.28872008,32.31713252,61.67814368,22.31598048,5.314781972,3.153268108,Medio,Medio,Medio,Medio,Medio
101.2016868,194.6633334,32.24140138,31.73702349,61.88178594,21.06217926,4.697631881,2.666217385,Medio,Bom,Medio,Medio,Medio
110.1462919,214.9339479,32.57005156,30.41900919,60.49516877,26.1403939,5.097933495,3.022337211,Medio,Medio,Bom,Medio,Medio
80.34486087,189.9995554,25.76083376,38.77182108,62.22376328,21.622974,5.891872945,3.679669722,Bom,Bom,Medio,Medio,Medio
106.2996757,209.8806567,25.39494147,32.06927684,59.59137591,21.7487389,4.657934867,2.836853525,Medio,Medio,Medio,Medio,Medio
112.4263273,201.5006225,27.96786252,29.20880323,59.14988333,21.53867726,4.23904301,2.649309347,Medio,Medio,Medio,Medio,Medio
102.8911386,191.6850596,31.02155758,26.19423111,56.26455762,21.7800702,4.00828077,2.541475427,Ruim,Medio,Medio,Medio,Medio
84.34461256,200.0332663,24.70094719,33.54594036,59.76851695,26.6067462,6.511901218,4.146703284,Medio,Medio,Bom,Medio,Bom
123.642685,240.2514429,23.1614476,24.02510372,55.22201495,9.61113015,1.798910371,1.065421748,Ruim,Ruim,Ruim,Ruim,Ruim
120.5550738,209.0812422,31.04403491,16.37411938,50.0498307,10.9451561,1.722167745,1.047272838,Ruim,Ruim,Ruim,Ruim,Ruim
89.01415424,182.1430676,22.86205618,22.91529019,52.42942772,15.11723094,3.041740845,1.856624944,Ruim,Ruim,Medio,Ruim,Ruim
83.50099245,199.611429,20.29520111,40.00404708,55.82220206,37.13171669,8.906590429,5.503643195,Bom,Ruim,Bom,Bom,Bom
109.8558033,220.1746598,17.20894489,23.91685794,52.25093678,16.42638377,3.442857856,2.048684932,Ruim,Ruim,Medio,Ruim,Medio
