price_15;price_25;Marcas;Crystal (Linha);Sim;Tizen;Amazon Prime Video;Globoplay;Netflix;Youtube;Acesso Internet;Assistente Pessoal;Controle com Comando de Voz;Grava Programacao;HDR;Conversor Digital Integrado e Interativo (DTVi);LED;Tamanho da Tela;4K;Frequencia_Nativa;Bluetooth;Tecnologia DLNA;Wi-Fi integrado;Espelhamento de Tela;HDMI;LAN (Rede);USB;3 HDMI;Altura com base;Altura sem base;Largura;Profundidade com base;Profundidade sem base;ThinQ AI (Linha);WebOS;Conversor Digital Integrado;Facebook;OLED;Design da Tela;4 HDMI;Linha;Android;Controle por Smartphone;Android TV (Linha);Controle com Função Mouse;Função Estádio;Nano Cristal;IPS (In Plane Switching);2 HDMI;Picture in Picture(PiP);QLED;Frequência Máxima;ConnectShare;Slim;Saphi;Disney Plus;Tela Plana;Neo QLED;Roku;Sistema Operacional;The Frame (Linha);One Connect;PC;Série 6600 (Linha);VA (Vertically Aligned);Suporte para Controle por Movimento;Q80 (Linha);HDMI 2,1;HDMI 2,0;Série 6 (Linha);Ultra Slim;The Sero (Linha);Linux;Cartão de Memória;Vidaa;Fone de Ouvido P2;The Serif (Linha);NFC;Full HD;HD;Suporte para Wi-Fi;8K;LCD;Super Slim;Spotify;Série 5100 (Linha);Potência (RMS);Série 3000 (Linha);Smart TV;1 HDMI;Resolução de Imagem;Aquos (Linha)
1279,9;1699;HQ (Marca);0;0;0;0;0;0;0;0;0;0;0;0;0;1;32;0;60;0;0;0;0;1;0;1;1;47;0;73,5;19;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
4514,9;;JVC (Marca);0;1;0;0;0;1;1;1;1;1;0;1;0;1;58;1;60;1;0;1;0;1;0;1;0;81,6;75,3;129,8;26,9;6,3;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1099,2;1083,84;LG (Marca);0;1;0;0;0;1;1;1;0;0;1;0;0;1;23,6;0;0;0;0;1;0;1;1;1;0;36,7;34;56,3;15;5,8;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
1426,74;1399,9;LG (Marca);0;1;0;0;0;1;1;1;1;0;0;1;0;1;32;0;0;1;0;1;1;1;1;1;1;47,2;44,5;74,2;18;8,7;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
1737,05;1699,9;LG (Marca);0;1;0;1;0;1;1;1;0;0;0;1;0;1;32;0;60;1;0;1;1;1;1;1;1;0;44,5;74,2;0;8,7;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
1494,45;1454;LG (Marca);0;1;0;1;0;1;0;1;0;1;0;1;0;1;32;0;60;1;0;1;1;1;0;1;1;47,2;44,5;74,2;18;8,65;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
2907,14;2899;LG (Marca);0;1;0;1;0;1;1;0;0;0;0;0;0;1;43;1;60;1;0;1;1;1;0;1;1;62,5;57,1;97,2;21,7;8,5;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2231,95;2226,15;LG (Marca);0;1;0;1;0;1;1;1;1;1;0;1;0;1;43;1;60;1;0;1;1;1;1;1;1;0;0;97,2;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2336,99;2094,03;LG (Marca);0;1;0;1;0;1;1;1;1;0;0;1;0;1;43;1;60;1;0;1;1;1;0;1;0;61,1;57,2;97,3;18,7;8,5;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2078;;LG (Marca);0;1;0;0;0;1;1;1;1;0;0;0;0;1;43;0;0;1;0;1;1;1;1;1;1;0;0;97,3;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
2519,25;2552,66;LG (Marca);0;1;0;1;0;1;1;1;1;0;0;1;1;1;43;0;60;1;0;1;1;1;1;1;1;62,5;57,2;97,3;21,8;8,5;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
2084,05;1999;LG (Marca);0;1;0;1;0;1;1;1;1;0;0;1;0;1;43;0;60;1;0;1;1;0;0;1;1;62,3;57,2;97,3;21,6;8,5;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
3383,3;;LG (Marca);0;1;0;1;0;1;1;1;1;0;0;1;0;1;50;1;60;1;0;1;1;1;1;1;0;0;0;112,8;0;0;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3459,39;3379,64;LG (Marca);0;1;0;1;1;1;1;1;1;1;1;1;0;1;50;1;60;1;0;1;1;1;0;1;1;72,2;66,3;113;23,1;8,63;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2713,34;2607,36;LG (Marca);0;1;0;0;0;1;1;1;1;0;0;1;0;1;50;1;60;1;0;1;0;1;1;1;1;72,2;66,3;113;23,1;8,63;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;3953,65;LG (Marca);0;1;0;1;0;1;0;1;1;1;1;1;0;1;50;1;60;1;0;1;0;1;0;1;0;71,7;65,8;112,8;23,3;8,75;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
